,Date,Base_Close,Comp_Close,Spread,Base_Instrument,Comp_Instrument
1741,2013-03-20,85.75,86.68,-0.9300000000000068,/CLN16,/CLF16
1742,2013-03-21,85.44,86.32000000000001,-0.8800000000000097,/CLN16,/CLF16
1743,2013-03-22,85.47,86.45,-0.980000000000004,/CLN16,/CLF16
1744,2013-03-25,85.54,86.60000000000001,-1.0600000000000023,/CLN16,/CLF16
1745,2013-03-26,86.26,87.41,-1.1499999999999915,/CLN16,/CLF16
1746,2013-03-27,86.65,87.79,-1.1400000000000006,/CLN16,/CLF16
1747,2013-03-28,87.04,88.23,-1.1899999999999977,/CLN16,/CLF16
1748,2013-04-01,87.16,88.46000000000001,-1.3000000000000114,/CLN16,/CLF16
1749,2013-04-02,86.94,88.26,-1.3200000000000074,/CLN16,/CLF16
1750,2013-04-03,86.02,87.13,-1.1099999999999994,/CLN16,/CLF16
1751,2013-04-04,86.12,87.02,-0.8999999999999915,/CLN16,/CLF16
1752,2013-04-05,86.3,87.06,-0.7600000000000051,/CLN16,/CLF16
1753,2013-04-08,86.5,87.37,-0.8700000000000045,/CLN16,/CLF16
1754,2013-04-09,86.67,87.59,-0.9200000000000017,/CLN16,/CLF16
1755,2013-04-10,86.87,87.83,-0.9599999999999937,/CLN16,/CLF16
1756,2013-04-11,86.9,87.73,-0.8299999999999983,/CLN16,/CLF16
1757,2013-04-12,86.17,86.82000000000001,-0.6500000000000057,/CLN16,/CLF16
1758,2013-04-15,84.46000000000001,85.03,-0.5699999999999932,/CLN16,/CLF16
1759,2013-04-16,84.35000000000001,84.99,-0.6399999999999864,/CLN16,/CLF16
1760,2013-04-17,82.38,82.97,-0.5900000000000034,/CLN16,/CLF16
1761,2013-04-18,82.23,82.91,-0.6799999999999926,/CLN16,/CLF16
1762,2013-04-19,82.60000000000001,83.22,-0.6199999999999903,/CLN16,/CLF16
1763,2013-04-22,83.86,84.53,-0.6700000000000017,/CLN16,/CLF16
1764,2013-04-23,84.19,84.88,-0.6899999999999977,/CLN16,/CLF16
1765,2013-04-24,84.94,85.75,-0.8100000000000023,/CLN16,/CLF16
1766,2013-04-25,86.12,86.97,-0.8499999999999943,/CLN16,/CLF16
1767,2013-04-26,85.39,86.2,-0.8100000000000023,/CLN16,/CLF16
1768,2013-04-29,85.5,86.36,-0.8599999999999994,/CLN16,/CLF16
1769,2013-04-30,85.24,86.03,-0.7900000000000063,/CLN16,/CLF16
1770,2013-05-01,83.64,84.33,-0.6899999999999977,/CLN16,/CLF16
1771,2013-05-02,85.38,86.16,-0.7800000000000011,/CLN16,/CLF16
1772,2013-05-03,85.58,86.53,-0.9500000000000028,/CLN16,/CLF16
1773,2013-05-06,85.82000000000001,86.87,-1.0499999999999972,/CLN16,/CLF16
1774,2013-05-07,85.63,86.63,-1.0,/CLN16,/CLF16
1775,2013-05-08,85.9,86.99,-1.0899999999999892,/CLN16,/CLF16
1776,2013-05-09,85.93,87.15,-1.2199999999999989,/CLN16,/CLF16
1777,2013-05-10,85.98,87.17,-1.1899999999999977,/CLN16,/CLF16
1778,2013-05-13,85.67,86.77,-1.0999999999999943,/CLN16,/CLF16
1779,2013-05-14,85.34,86.45,-1.1099999999999994,/CLN16,/CLF16
1780,2013-05-15,85.75,86.85000000000001,-1.1000000000000085,/CLN16,/CLF16
1781,2013-05-16,86.21000000000001,87.36,-1.1499999999999915,/CLN16,/CLF16
1782,2013-05-17,86.21000000000001,87.4,-1.1899999999999977,/CLN16,/CLF16
1783,2013-05-20,86.31,87.52,-1.2099999999999937,/CLN16,/CLF16
1784,2013-05-21,86.24,87.35000000000001,-1.1100000000000136,/CLN16,/CLF16
1785,2013-05-22,85.73,86.71000000000001,-0.980000000000004,/CLN16,/CLF16
1786,2013-05-23,85.28,86.26,-0.980000000000004,/CLN16,/CLF16
1787,2013-05-24,85.14,86.18,-1.0400000000000063,/CLN16,/CLF16
1788,2013-05-28,85.3,86.47,-1.1700000000000017,/CLN16,/CLF16
1789,2013-05-29,84.2,85.25,-1.0499999999999972,/CLN16,/CLF16
1790,2013-05-30,84.45,85.53,-1.0799999999999983,/CLN16,/CLF16
1791,2013-05-31,83.99,84.92,-0.9300000000000068,/CLN16,/CLF16
1792,2013-06-03,85.13,86.17,-1.0400000000000063,/CLN16,/CLF16
1793,2013-06-04,84.7,85.8,-1.0999999999999943,/CLN16,/CLF16
1794,2013-06-05,84.7,85.8,-1.0999999999999943,/CLN16,/CLF16
1795,2013-06-06,85.04,86.14,-1.0999999999999943,/CLN16,/CLF16
1796,2013-06-07,85.02,86.26,-1.240000000000009,/CLN16,/CLF16
1797,2013-06-10,85.33,86.52,-1.1899999999999977,/CLN16,/CLF16
1798,2013-06-11,84.84,86.02,-1.1799999999999926,/CLN16,/CLF16
1799,2013-06-12,85.18,86.38,-1.1999999999999886,/CLN16,/CLF16
1800,2013-06-13,85.38,86.74,-1.3599999999999994,/CLN16,/CLF16
1801,2013-06-14,85.28,86.75,-1.4699999999999989,/CLN16,/CLF16
1802,2013-06-17,85.46000000000001,86.95,-1.4899999999999949,/CLN16,/CLF16
1803,2013-06-18,85.34,86.91,-1.5699999999999932,/CLN16,/CLF16
1804,2013-06-19,85.03,86.62,-1.5900000000000034,/CLN16,/CLF16
1805,2013-06-20,82.51,83.92,-1.4099999999999966,/CLN16,/CLF16
1806,2013-06-21,81.51,82.82000000000001,-1.3100000000000023,/CLN16,/CLF16
1807,2013-06-24,82.38,83.69,-1.3100000000000023,/CLN16,/CLF16
1808,2013-06-25,83.02,84.25,-1.230000000000004,/CLN16,/CLF16
1809,2013-06-26,83.21000000000001,84.47,-1.259999999999991,/CLN16,/CLF16
1810,2013-06-27,83.39,84.81,-1.4200000000000017,/CLN16,/CLF16
1811,2013-06-28,82.86,84.28,-1.4200000000000017,/CLN16,/CLF16
1812,2013-07-01,82.97,84.56,-1.5900000000000034,/CLN16,/CLF16
1813,2013-07-02,83.36,84.99,-1.6299999999999955,/CLN16,/CLF16
1814,2013-07-03,83.82000000000001,85.51,-1.6899999999999977,/CLN16,/CLF16
1815,2013-07-05,83.71000000000001,85.56,-1.8499999999999943,/CLN16,/CLF16
1816,2013-07-08,83.97,85.78,-1.8100000000000023,/CLN16,/CLF16
1817,2013-07-09,83.91,85.62,-1.710000000000008,/CLN16,/CLF16
1818,2013-07-10,84.57000000000001,86.22,-1.6499999999999915,/CLN16,/CLF16
1819,2013-07-11,85.10000000000001,86.73,-1.6299999999999955,/CLN16,/CLF16
1820,2013-07-12,84.89,86.68,-1.7900000000000063,/CLN16,/CLF16
1821,2013-07-15,84.68,86.61,-1.9299999999999926,/CLN16,/CLF16
1822,2013-07-16,84.48,86.47,-1.9899999999999949,/CLN16,/CLF16
1823,2013-07-17,84.55,86.60000000000001,-2.0500000000000114,/CLN16,/CLF16
1824,2013-07-18,84.2,86.24,-2.039999999999992,/CLN16,/CLF16
1825,2013-07-19,84.06,86.01,-1.9500000000000028,/CLN16,/CLF16
1826,2013-07-22,84.32000000000001,86.36,-2.039999999999992,/CLN16,/CLF16
1827,2013-07-23,84.47,86.61,-2.1400000000000006,/CLN16,/CLF16
1828,2013-07-24,84.39,86.48,-2.0900000000000034,/CLN16,/CLF16
1829,2013-07-25,85.06,87.13,-2.069999999999993,/CLN16,/CLF16
1830,2013-07-26,85.71000000000001,87.63,-1.9199999999999875,/CLN16,/CLF16
1831,2013-07-29,85.34,87.28,-1.9399999999999977,/CLN16,/CLF16
1832,2013-07-30,85.23,87.2,-1.9699999999999989,/CLN16,/CLF16
1833,2013-07-31,85.4,87.49,-2.089999999999989,/CLN16,/CLF16
1834,2013-08-01,85.13,87.34,-2.210000000000008,/CLN16,/CLF16
1835,2013-08-02,85.18,87.35000000000001,-2.1700000000000017,/CLN16,/CLF16
1836,2013-08-05,85.54,87.65,-2.1099999999999994,/CLN16,/CLF16
1837,2013-08-06,85.10000000000001,87.11,-2.009999999999991,/CLN16,/CLF16
1838,2013-08-07,85.23,87.15,-1.9200000000000017,/CLN16,/CLF16
1839,2013-08-08,85.10000000000001,86.89,-1.789999999999992,/CLN16,/CLF16
1840,2013-08-09,85.35000000000001,87.26,-1.9099999999999966,/CLN16,/CLF16
1841,2013-08-12,85.48,87.46000000000001,-1.980000000000004,/CLN16,/CLF16
1842,2013-08-13,85.58,87.63,-2.049999999999997,/CLN16,/CLF16
1843,2013-08-14,85.72,87.72,-2.0,/CLN16,/CLF16
1844,2013-08-15,85.49,87.61,-2.1200000000000045,/CLN16,/CLF16
1845,2013-08-16,85.28,87.44,-2.1599999999999966,/CLN16,/CLF16
1846,2013-08-19,85.24,87.41,-2.1700000000000017,/CLN16,/CLF16
1847,2013-08-20,85.57000000000001,87.62,-2.049999999999997,/CLN16,/CLF16
1848,2013-08-21,85.3,87.3,-2.0,/CLN16,/CLF16
1849,2013-08-22,85.2,87.24,-2.039999999999992,/CLN16,/CLF16
1850,2013-08-23,85.17,87.28,-2.1099999999999994,/CLN16,/CLF16
1851,2013-08-26,85.08,87.17,-2.0900000000000034,/CLN16,/CLF16
1852,2013-08-27,85.5,87.7,-2.200000000000003,/CLN16,/CLF16
1853,2013-08-28,84.86,87.15,-2.2900000000000063,/CLN16,/CLF16
1854,2013-08-29,84.07000000000001,86.29,-2.219999999999999,/CLN16,/CLF16
1855,2013-08-30,84.52,86.59,-2.0700000000000074,/CLN16,/CLF16
1856,2013-09-03,84.59,86.77,-2.1799999999999926,/CLN16,/CLF16
1857,2013-09-04,84.69,86.82000000000001,-2.1300000000000097,/CLN16,/CLF16
1858,2013-09-05,84.76,86.93,-2.1700000000000017,/CLN16,/CLF16
1859,2013-09-06,84.7,87.0,-2.299999999999997,/CLN16,/CLF16
1860,2013-09-09,84.23,86.54,-2.3100000000000023,/CLN16,/CLF16
1861,2013-09-10,84.10000000000001,86.21000000000001,-2.1099999999999994,/CLN16,/CLF16
1862,2013-09-11,84.10000000000001,86.19,-2.089999999999989,/CLN16,/CLF16
1863,2013-09-12,84.43,86.60000000000001,-2.1700000000000017,/CLN16,/CLF16
1864,2013-09-13,84.60000000000001,86.77,-2.1699999999999875,/CLN16,/CLF16
